# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  dc215bf0bcef  a9a21c1c78a1  ploop: Do not allocate excess memory on add_delta
match  3ce1ebc3397d  0c44fac4376b  ploop: Add ploop_delta type
match  310e719aafd9  2a2241a4b420  ploop: Save info about ploop->deltas[0] (base image) is raw
match  ff93c207b92f  3295d78a5146  ploop: Prohibit flip on raw delta
match  8ad021c7eefc  2181e229e4be  ploop: Allocate piocb from kmem_cache
match  c5e9fadc9dda  ff3a9fd6ff2e  ploop: Support images with cluster size up to 4MB
match  ff522aa5b2d6  510499766963  ploop: Move struct ploop_cow definition
match  61ef7822d9a7  a07c34e5414d  ploop: Use kmem_cache for struct ploop_cow allocation
ok     9ff01ca18f42  36bdab37a5ca  cbt: Allow BLKCBTMISC for userspace
match  86a254dd5097  5e553facda8e  cbt: Move cbt_flush_cache() before size calculation
match  3a610dcf0d8d  400ab7ae5485  cbt: Fix off-by-one in map_required_size()
drop                 2e2bd9d589d3  ms/linux/bits.h: make BIT(), GENMASK(), and friends available in assembly
match  81a59aca7fc8  28d8fd39372d  ms/Revert "vfs: Allow userns root to call mknod on owned filesystems."
match  23c1d531d2e2  2105718c215d  ve/fs: allow to mknod inside a Container
match  79daf04f9864  caa5c5d2e114  ms/cgroup: let a symlink too be created with a cftype file
match  b510993cd9e8  585245470815  ms/block, bfq: add weight symlink to the bfq.weight cgroup parameter
match  f2901f2c0931  dda3c09b71df  ms/prctl: Fix false positive in validate_prctl_map
match  4ea093d82d39  870b9e4d897b  netlink: allow to set peeking offset for sockets
match  76c4d452054c  7110d83d3e82  netlink: add an ability to restore messages in a receive queue
match  8aa7de8be824  17cd31ee95dd  config.minimal: add configs required for criu to config.OpenVZ.minimal
match  bcce02f4c3ec  68c59329dc6a  ploop: Update cached bat_entries before bio completion
match  14f846bfd3c2  e394192249b1  ploop: Add timeout to ploop_inflight_bios_ref_switch()
match  ad716cf38ace  18331018724d  ploop: Care about timeout on grow and snapshot
match  da2be1cbdb10  6e28f4d221a9  ploop: Care about timeout on tracking start
match  f19d5b9b9f85  ea565431c886  ploop: Care about timeout on discard
match  d702f4f4ef92  9e8309d8dc2d  ploop: Care about timeout on process_notify_delta_merged()
